"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1346","1433","1513","1588","1671","1766","1867","1972","2087","2219","2365","2592","2834","3085","3324","3552","3661","3768","3871","3987","4117","4231","4360","4475","4568","4612","4624","4610","4601","4644","4758","4777","4895","5087","5315","5552","5813","6059","6310","6578","6887","7207","7557","7924","8277","8594","8993","9342","9678","10035","10460","10801","11200","11655","12148","12664","13214","13774",
"Afganistán","AFG","Población de 65 años de edad y más, total","SP.POP.65UP.TO","251763","257361","261938","265412","267694","268751","275445","281095","285663","289184","291648","299633","306597","312308","316538","319144","326301","330806","331750","328204","319890","317513","309288","296259","279800","260580","260427","260987","262823","266304","270930","289179","313590","341739","370548","398331","414482","425007","432657","440900","451788","467090","486145","507446","528802","548953","573338","594646","614882","637112","663419","694405","729887","767997","805687","841098","880803","916863",
"Angola","AGO","Población de 65 años de edad y más, total","SP.POP.65UP.TO","143474","148105","151653","154277","156308","157869","161795","165340","168538","171310","173621","178964","184139","189126","193928","198544","205369","212091","218787","225546","232411","241201","250310","259378","267928","275748","284439","291683","298021","304143","310389","319465","328959","338413","347221","355105","365314","374439","382894","391159","399465","412367","425642","439080","452374","465372","481060","497080","513061","528388","542972","559528","575504","592917","614697","642523","676956","716177",
"Albania","ALB","Población de 65 años de edad y más, total","SP.POP.65UP.TO","87044","89473","92500","95797","98981","101776","103457","104907","106590","108667","110900","113364","116154","119010","121933","124976","128286","131705","135023","138274","141649","145298","149092","152884","156576","160093","163631","167051","170423","175867","180846","184811","189532","194814","200225","205463","208375","210839","213132","215644","218535","224369","232196","240322","248552","256632","267166","277549","288109","299141","310895","321135","331186","340804","350650","361145","369116","378938",
"Andorra","AND","Población de 65 años de edad y más, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Población de 65 años de edad y más, total","SP.POP.65UP.TO","3247196","3367766","3486797","3604069","3719175","3831873","3962869","4090982","4217070","4342025","4466853","4610399","4752855","4894204","5033836","5172324","5330216","5486119","5641553","5798500","5958437","6138090","6317099","6497341","6681024","6870949","7088973","7312611","7546043","7794333","8102913","8416628","8714650","9051724","9393890","9760798","10109142","10448950","10782338","11113418","11444991","11773908","12098319","12420321","12739734","13059222","13394950","13729073","14071128","14430466","14815536","15244333","15682048","16142610","16650644","17224683","17878929","18604511",
"Emiratos Árabes Unidos","ARE","Población de 65 años de edad y más, total","SP.POP.65UP.TO","3174","3205","3308","3416","3471","3427","3330","3207","3133","3176","3371","3362","3822","4798","6289","8250","9373","10769","12339","13833","14989","15703","15924","15979","16217","16813","17393","18306","19489","20801","22115","22984","23753","24437","25090","25724","27010","28776","30834","32838","34609","34935","35249","36154","38328","42096","44254","48061","52803","57657","62069","70311","77926","84461","89638","93544","100499","107518",
"Argentina","ARG","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1150337","1198705","1247076","1295931","1345826","1397157","1453213","1509384","1566081","1623762","1682851","1746780","1810856","1874442","1936349","1995684","2063523","2127128","2187711","2247359","2307814","2366314","2427718","2491099","2554439","2616921","2692368","2761463","2827202","2893865","2963181","3040874","3120050","3198610","3272779","3341007","3417751","3488713","3554350","3615483","3672982","3737801","3795656","3849365","3902550","3957707","4019335","4082327","4147762","4216344","4289237","4375417","4462820","4552475","4645854","4743956","4849887","4957669",
"Armenia","ARM","Población de 65 años de edad y más, total","SP.POP.65UP.TO","118970","118443","118085","118068","118649","120030","122968","126709","131060","135670","140321","145864","150697","155118","159571","164223","169540","175033","180000","183376","184727","185083","183671","181550","180188","180496","181434","183506","186955","192180","199268","212946","227980","243202","257220","269655","278220","284701","290545","297808","307440","318190","331191","343914","352489","354761","352189","344058","333032","322963","316320","312450","311726","313237","315641","318217","323610","329162",
"Samoa Americana","ASM","Población de 65 años de edad y más, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Población de 65 años de edad y más, total","SP.POP.65UP.TO","2258","2284","2306","2332","2364","2396","2458","2524","2583","2639","2686","2778","2861","2938","3026","3133","3283","3441","3605","3735","3818","3959","4054","4113","4150","4170","4286","4403","4541","4724","4981","5082","5243","5425","5599","5736","5744","5713","5654","5581","5499","5547","5604","5695","5825","6001","6077","6162","6237","6291","6311","6355","6374","6390","6453","6578","6793","7072",
"Australia","AUS","Población de 65 años de edad y más, total","SP.POP.65UP.TO","881478","901232","924619","942827","960744","977950","991959","995024","1002976","1015214","1028127","1076758","1109538","1139967","1184801","1218190","1251973","1291947","1334685","1374594","1412591","1459019","1500775","1533984","1568630","1613347","1662248","1714995","1773323","1833017","1887830","1946608","2002050","2050170","2097299","2145414","2194060","2236365","2275801","2318135","2364366","2414407","2463903","2516592","2569877","2629758","2682284","2712538","2785711","2873324","2962730","3062347","3187811","3321588","3449383","3572138","3692849","3813715",
"Austria","AUT","Población de 65 años de edad y más, total","SP.POP.65UP.TO","856398","874313","893358","912879","932415","951555","974014","995690","1013834","1029020","1043203","1063149","1082482","1099826","1111336","1116281","1130087","1144444","1153508","1154031","1147167","1140504","1121931","1096851","1078107","1069405","1073880","1087145","1105943","1126606","1145648","1169464","1189691","1202526","1207331","1207332","1213374","1217350","1220718","1225773","1232972","1248168","1264854","1282726","1305307","1332688","1363499","1395562","1429127","1460553","1488551","1514912","1540394","1566210","1594447","1628326","1662366","1691504",
"Azerbaiyán","AZE","Población de 65 años de edad y más, total","SP.POP.65UP.TO","209727","213363","218047","223461","229169","234951","241732","248967","256287","263036","268899","275029","279296","282481","285763","289721","295211","301356","307187","311078","312294","314106","313616","311880","310296","309732","311873","314386","318326","325278","332274","345476","361412","378622","394581","408327","422802","435054","446347","458067","470835","491712","513060","532306","546095","552676","554431","550178","547189","542747","534046","533784","534185","536403","542454","553690","570804","593501",
"Burundi","BDI","Población de 65 años de edad y más, total","SP.POP.65UP.TO","82128","84411","86474","88371","90199","91976","94778","97534","100079","102177","103736","107806","111403","114709","117911","121078","123647","126282","128987","131705","134325","137752","141132","144386","147454","150364","154153","157811","161292","164521","167415","170369","172733","174495","175651","176252","180517","184288","187715","190983","194172","197705","201539","205538","209459","213113","217436","221651","225696","229475","233069","236482","239609","243179","248176","255235","266016","278380",
"Bélgica","BEL","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1086878","1104082","1122246","1144592","1169183","1193354","1220249","1245060","1266569","1284567","1297673","1318383","1337300","1351928","1364950","1376738","1395158","1412507","1425885","1430449","1424173","1417155","1398551","1376154","1360100","1356466","1371757","1397817","1432671","1466699","1494260","1525771","1552481","1575186","1595483","1614690","1639761","1664882","1688391","1709963","1729026","1749584","1769109","1785372","1798968","1811864","1826375","1837692","1848752","1863976","1888644","1926098","1958038","1989556","2015494","2045400","2081424","2111895",
"Benin","BEN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","122101","122909","123214","123013","122341","121221","124635","127777","130649","133226","135503","138994","142206","145116","147683","149880","152987","155714","158120","160239","162100","164771","167206","169377","171255","172840","175873","178689","181375","184023","186704","190377","194143","197949","201716","205418","209207","212768","216242","219820","223645","228806","234015","239460","245385","251923","260803","270072","279457","288533","297126","306226","314861","323346","332085","341362","351797","362586",
