"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","","","","","",
"Angola","AGO","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1","","","","","","","","","","","","","","","","",
"Albania","ALB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.58605","","","","","22","","","","","5.5","","","","","","","",
"Andorra","AND","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","","","","","","","","5.025251","","","","","",
"Armenia","ARM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","","","","","","","",
"Samoa Americana","ASM","Niños económicamente activos, total (% de niños entre 7 y 14 años de edad)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
