"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","42.1","",
"Angola","AGO","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","",
"Albania","ALB","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","","","","","","","","",
"Andorra","AND","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3","","","","","26.9","","","","","39.8","","","","","","40.2","",
"Samoa Americana","ASM","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaiyán","AZE","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","","","","","21.5","","","","","","","","","","","",
"Burundi","BDI","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","","","","","","","","","","","","","17.5","","","","","","","","32.7","","","","","","","39.3",
"Bélgica","BEL","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.8","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","15.4","","","","","13.9","","","","","","17.4","","24.5","","","",
"Burkina Faso","BFA","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","11.5","","","","20.1","","","","","","","36.9","36.9","","","31.9","37.2","44.2","45",
"Bangladesh","BGD","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","","","60.6","","","60.6","","","","64.8","","","65.4","","","","69.7","","78.3","72.6","","","",
"Bulgaria","BGR","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5","","","","","","","","","","","","","","","","","","","",
"Bahrein","BHR","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","","","","","",
"Belarús","BLR","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.2","","","","","",
"Belice","BLZ","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7","","","","","","","","64.1","","","","","","","","","","","","73.1","","","","65.9","","",
"Bermudas","BMU","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","","","","","24","","","","33.7","","","","","43","43","","","","42.8","","","","","","","","","",
"Brasil","BRA","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5","","","","","","","","","","80.2","","","","","","","","","","","89.3","","","","","","","","","","",
"Barbados","BRB","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","",
"Brunei Darussalam","BRN","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6","","","","","","","",
"Botswana","BWA","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9","","","","","","","","","","","","","","","","","","","","82.1","","","","","","","","","",
"República Centroafricana","CAF","Demanda de planificación familiar satisfecha por métodos modernos (% de mujeres casadas con demanda de planificación familiar)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","","","","","","","","","","","","","","","28.7","","","","","","",
